X.x,tJan,tFeb,tMar,tApr,tMay,tJun,tJul,tAug,tSep,tOct,tNov,tDec,rJan,rFeb,rMar,rApr,rMay,run,rJul,rAug,rSep,rOct,rNov,rDec,lon,lat,X.y,soilmask,BDRICM.units_of_measure,BDRICM.BDRICM_M,BLDFIE.units_of_measure,BLDFIE.M.sl1,BLDFIE.M.sl2,BLDFIE.M.sl3,BLDFIE.M.sl4,BLDFIE.M.sl5,BLDFIE.M.sl6,BLDFIE.M.sl7,CECSOL.units_of_measure,CECSOL.M.sl1,CECSOL.M.sl2,CECSOL.M.sl3,CECSOL.M.sl4,CECSOL.M.sl5,CECSOL.M.sl6,CECSOL.M.sl7,CLYPPT.units_of_measure,CLYPPT.M.sl1,CLYPPT.M.sl2,CLYPPT.M.sl3,CLYPPT.M.sl4,CLYPPT.M.sl5,CLYPPT.M.sl6,CLYPPT.M.sl7,CRFVOL.units_of_measure,CRFVOL.M.sl1,CRFVOL.M.sl2,CRFVOL.M.sl3,CRFVOL.M.sl4,CRFVOL.M.sl5,CRFVOL.M.sl6,CRFVOL.M.sl7,ORCDRC.units_of_measure,ORCDRC.M.sl1,ORCDRC.M.sl2,ORCDRC.M.sl3,ORCDRC.M.sl4,ORCDRC.M.sl5,ORCDRC.M.sl6,ORCDRC.M.sl7,PHIHOX.units_of_measure,PHIHOX.M.sl1,PHIHOX.M.sl2,PHIHOX.M.sl3,PHIHOX.M.sl4,PHIHOX.M.sl5,PHIHOX.M.sl6,PHIHOX.M.sl7,SLTPPT.units_of_measure,SLTPPT.M.sl1,SLTPPT.M.sl2,SLTPPT.M.sl3,SLTPPT.M.sl4,SLTPPT.M.sl5,SLTPPT.M.sl6,SLTPPT.M.sl7,SNDPPT.units_of_measure,SNDPPT.M.sl1,SNDPPT.M.sl2,SNDPPT.M.sl3,SNDPPT.M.sl4,SNDPPT.M.sl5,SNDPPT.M.sl6,SNDPPT.M.sl7,depthCodesMeters.sd1,depthCodesMeters.sd2,depthCodesMeters.sd3,depthCodesMeters.sd4,depthCodesMeters.sd5,depthCodesMeters.sd6,depthCodesMeters.sl1,depthCodesMeters.sl2,depthCodesMeters.sl3,depthCodesMeters.sl4,depthCodesMeters.sl5,depthCodesMeters.sl6,depthCodesMeters.sl7,depthCodesMeters.xd1,depthCodesMeters.xd2,publication_date
X247,247,249,252,253,253,239,233,238,243,247,244,244,158,191,197,230,200,45,26,44,156,268,218,179,14.91666667,-1.266666667,12,soil,cm,200,kg / cubic-m,1376,1316,1381,1453,1465,1483,1493,cmol / kg,11,11,9,7,6,6,6,percent,35,34,36,38,42,42,42,percent,0,0,1,1,2,3,4,g / kg,25,20,18,11,7,4,3,index*10,51,49,49,50,50,50,51,percent,9,9,9,9,8,8,9,percent,41,56,55,53,50,49,48,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X250,250,251,253,252,248,242,231,233,237,239,244,247,61,100,166,214,272,151,78,103,345,397,224,77,10,2,13,soil,cm,200,kg / cubic-m,1223,1180,1271,1343,1374,1397,1427,cmol / kg,14,15,11,9,9,9,9,percent,29,29,33,37,42,43,42,percent,8,7,9,12,14,14,16,g / kg,45,81,45,33,29,27,26,index*10,48,46,46,47,48,49,49,percent,19,19,20,18,18,18,18,percent,36,51,47,44,40,39,39,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X183,183,185,186,186,183,176,168,168,171,173,179,182,49,89,155,206,277,262,258,288,426,380,148,54,8.6667004,3.3333001,14,soil,cm,200,kg / cubic-m,1000,986,952,1054,1099,1199,1260,cmol / kg,45,46,44,43,42,40,40,percent,29,29,31,28,29,30,29,percent,19,19,21,24,27,28,29,g / kg,111,76,74,61,47,42,42,index*10,51,51,51,52,53,53,54,percent,24,24,23,25,23,24,24,percent,33,48,46,47,48,46,47,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X268,268,276,277,275,269,263,252,253,256,260,267,267,40,83,158,198,311,452,501,411,476,346,162,47,7.430763,4.699215,15,soil,cm,200,kg / cubic-m,1409,1339,1383,1391,1429,1460,1512,cmol / kg,9,8,9,7,7,7,7,percent,18,17,20,21,27,28,28,percent,1,1,1,2,5,6,6,g / kg,56,21,21,13,9,7,6,index*10,53,51,51,51,51,51,51,percent,11,11,11,10,9,9,9,percent,55,72,69,69,64,63,63,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X270,270,279,282,279,274,267,254,255,258,262,270,270,27,50,124,178,251,279,333,274,330,278,94,18,7.855277778,5.431944444,16,soil,cm,200,kg / cubic-m,1383,1302,1369,1434,1447,1470,1498,cmol / kg,12,13,10,9,9,9,9,percent,16,16,19,24,30,31,30,percent,13,13,13,15,16,17,18,g / kg,46,21,17,11,8,5,5,index*10,53,53,51,52,52,52,51,percent,12,12,11,10,10,9,10,percent,56,71,70,66,60,59,59,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X270.1,270,279,280,280,273,261,254,248,257,264,270,268,9,32,55,102,148,219,82,30,59,84,29,10,1.2381,6.1608,17,soil,cm,200,kg / cubic-m,1465,1437,1472,1510,1534,1551,1575,cmol / kg,39,16,16,16,16,16,16,percent,21,22,24,28,30,29,29,percent,12,12,12,14,14,15,17,g / kg,53,14,13,7,6,5,4,index*10,56,55,55,56,56,57,57,percent,17,17,17,17,16,17,17,percent,47,61,59,55,54,54,54,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X275,275,285,291,289,278,268,258,257,260,267,277,274,15,25,73,133,208,244,267,209,313,233,47,11,6.75,6.183333,18,soil,cm,200,kg / cubic-m,1388,1348,1405,1423,1449,1484,1501,cmol / kg,7,7,7,7,7,7,7,percent,21,22,23,27,29,29,29,percent,8,8,10,12,12,13,17,g / kg,94,14,12,6,4,2,2,index*10,59,58,57,57,57,58,58,percent,16,15,15,14,13,13,14,percent,48,63,62,59,58,58,57,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X277,277,288,290,287,279,266,257,254,264,268,274,274,19,42,99,124,157,191,81,45,97,132,80,33,0.24,6.19,19,soil,cm,200,kg / cubic-m,1397,1365,1439,1491,1509,1532,1567,cmol / kg,16,18,17,18,18,18,18,percent,28,28,29,33,38,38,38,percent,17,17,18,22,24,25,27,g / kg,11,16,12,7,4,3,2,index*10,62,61,59,60,59,61,62,percent,19,19,19,19,18,18,20,percent,38,53,52,48,45,44,42,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X272,272,285,290,287,276,266,257,255,260,265,275,272,14,25,72,129,206,240,262,206,313,231,46,10,6.7317008,6.1978136,20,soil,cm,200,kg / cubic-m,1374,1321,1378,1397,1438,1477,1497,cmol / kg,7,7,6,6,6,6,6,percent,20,20,23,26,30,30,30,percent,11,11,13,14,13,16,19,g / kg,111,16,14,9,8,6,6,index*10,58,57,57,57,57,57,58,percent,14,14,13,12,11,10,12,percent,51,66,64,62,59,60,58,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
X256,256,266,271,267,256,244,235,231,239,245,255,254,15,28,87,151,232,241,263,225,311,240,41,10,7.3975,6.2865,21,soil,cm,200,kg / cubic-m,1402,1290,1359,1401,1438,1464,1493,cmol / kg,9,9,8,7,7,6,6,percent,26,25,28,31,38,38,38,percent,10,11,12,14,15,15,17,g / kg,34,26,20,13,9,7,6,index*10,56,54,53,53,54,54,54,percent,9,9,9,9,7,7,7,percent,51,66,63,61,55,54,54,-0.025,-0.1,-0.225,-0.45,-0.8,-1.5,0,-0.05,-0.15,-0.3,-0.6,-1,-2,-0.2,-0.5,10/3/2017
