CFFcropid,INSTCODE,ACCENUMB,COLLNUMB,COLLCODE,COLLNAME,COLLINSTADDRESS,COLLMISSID,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,CROPNAME,ACCENAME,ACQDATE,ORIGCTY,COLLSITE,lat,lon,COORDUNCERT,COORDDATUM,GEOREFMETH,ELEVATION,COLLDATE,BREDCODE,BREDNAME,SAMPSTAT,ANCEST,COLLSRC,DONORCODE,DONORNAME,DONORNUMB,OTHERNUMB,DUPLSITE,DUPLINSTNAME,STORAGE,MLSSTAT,UUID,HISTORIC,ACCEURL,REMARKS
10001000035,IND002,ICP 8966,LJR 78B,IND002,,,ICRISAT-MISN-034,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19780620,IND,Gangasagar; Mehsana,23.59,72.389999,,,,,19780301,,,300,,21,,,,,,,12;13,,54381434-67ff-45d6-acd0-d72d93f9be48,,,
10001000035,IND002,ICP 8963,LJR 76,IND002,,,ICRISAT-MISN-034,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19780620,IND,Bramhanwada; Mehsana,23.590001,72.389999,,,,,19780301,,,300,,21,,,,,,,12;13,,f5537bd6-99b3-48b4-8ac0-a8fdbba025c1,,,
10001000035,IND002,ICP 8964,LJR 77,IND002,,,ICRISAT-MISN-034,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19780620,IND,Songadh; Mehsana,23.590001,72.389999,,,,,19780301,,,300,,21,,,,,,,12;13,,23aea5b6-932b-43fc-a668-92d133c72d21,,,
10001000035,IND002,ICP 8711,RPSP 391,IND002,,,ICRISAT-MISN-025,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19771021,IND,Baspa; Mehsana,23.6,72.400001,,,,,19770306,,,300,,21,,,,,,,12;13,,698df02b-603a-480a-b8bc-4a4f9d68fada,,,
10001000035,IND002,ICP 8954,LJR 68,IND002,,,ICRISAT-MISN-034,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19780620,IND,Titoi; Sabarkantha district,23.61,73.339996,,,,,19780228,,,300,,21,,,,,,,12;13,,a9e74b57-73a6-4e37-8da6-793edb8b79fb,,,
10001000035,IND002,ICP 8955,LJR 69,IND002,,,ICRISAT-MISN-034,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19780620,IND,Bhavanpur; Sabarkantha district,23.61,73.339996,,,,,19780228,,,300,,21,,,,,,,12;13,,98936691-7bd4-4719-8c85-40382d353010,,,
10001000035,IND002,ICP 7454,,,,,ICRISAT-MISN-N/A,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19750320,IND,Balgara; Kalgaon,23.624394,78.508308,,,,,,,,300,,21,,,,,,,12;13,,60342866-9adb-452b-b973-2ecef1c841d4,,,
10001000035,IND002,ICP 7047,DSLR 67,IND002,,,ICRISAT-MISN-001,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19740620,IND,Bora; Jabalpur district,23.649999,76.889999,,,,,19740410,,,300,,21,,,,,,,12;13,,d88d1638-ba94-48ab-833a-9bfa8d6b7dfd,,,
10001000035,TWN001,VI050162,GRSU-2001-95,,AVRDC-GRSU,,COA INDIGENOUS VEGETABLE PROJECT,Cajanus,cajan,,,,pigeonpea,,20011105,TWN,"GUANGFU, DACHUAN VILLAGE",23.65,121.4,,,,147,20011025,,,999,,,,,GRSU-2001-95,,,,,TRUE,0c7bd32f-4c88-4717-9c15-47b4d46fe0c9,,http://seed.worldveg.org/search/view/passport/VI050162,"USED AS FOOD, BLACK SEEDS ARE INDIGENOUS SPECIES"
10001000035,IND002,ICP 11431,JM 3708,IND002,,,ICRISAT-MISN-047,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19820625,BGD,"Chuadanga, road to Alamdanga",23.68,89.379997,,,,60,19790311,,,300,,21,,,,,,,12;13,,c2c5f9d2-9de8-4e6b-9acc-2e663824f41e,,,
