CFFcropid,INSTCODE,ACCENUMB,COLLNUMB,COLLCODE,COLLNAME,COLLINSTADDRESS,COLLMISSID,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,CROPNAME,ACCENAME,ACQDATE,ORIGCTY,COLLSITE,lat,lon,COORDUNCERT,COORDDATUM,GEOREFMETH,ELEVATION,COLLDATE,BREDCODE,BREDNAME,SAMPSTAT,ANCEST,COLLSRC,DONORCODE,DONORNAME,DONORNUMB,OTHERNUMB,DUPLSITE,DUPLINSTNAME,STORAGE,MLSSTAT,UUID,HISTORIC,ACCEURL,REMARKS
10001000051,NGA039,TDa-4060,BC12/0002,,,,,Dioscorea,alata,,,,yam,,,NGA,BIOTECH/TRIP,7.5014243,3.9099205,,,,252,,,,300,,,,,,,,,13;30,,a3ae9a14-329f-49eb-9f1b-d821530a45df,,http://my.iita.org/accession2/accession/TDa-4060,
10001000051,NGA039,TDa-4061,BC12/0010,,,,,Dioscorea,alata,,,,yam,,,NGA,BIOTECH/TRIP,7.5014243,3.9099205,,,,252,,,,300,,,,,,,,,13;30,,d09bb39f-2aa8-4658-847c-736c54f836f5,,http://my.iita.org/accession2/accession/TDa-4061,
10001000051,NGA039,TDa-4062,BC12/0031,,,,,Dioscorea,alata,,,,yam,,,NGA,BIOTECH/TRIP,7.5014243,3.9099205,,,,252,,,,300,,,,,,,,,13;30,,eb039792-7454-4d09-bd5d-c54be0ca9e33,,http://my.iita.org/accession2/accession/TDa-4062,
10001000051,NGA039,TDa-4063,95-22,,,,,Dioscorea,alata,,,,yam,,,GHA,TRIP,7.5014243,3.9099205,,,,252,19950101,,,300,,,,,,,,,13;30,,0facb33d-fe6b-42d2-8f91-99650141c041,,http://my.iita.org/accession2/accession/TDa-4063,
10001000051,NGA039,TDa-4124,B002Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Bonth,7.53,-12.51,,,,9,,,,300,,,,,,,,,13;30,,b6910b1b-feb0-440a-87ab-eff621e27f4c,,http://my.iita.org/accession2/accession/TDa-4124,
10001000051,NGA039,TDa-4148,B0001Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Bonth,7.53,-12.51,,,,9,,,,300,,,,,,,,,13;30,,18c15f18-24b3-4fee-b991-fd98caa26a6b,,http://my.iita.org/accession2/accession/TDa-4148,
10001000051,NGA039,TDa-1333,IF/89/036,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.5332999,-2.0667,,,,303,19890101,,,300,,,,,,,,,13;30,,af9da269-d87b-4887-b58a-6d3a058a1def,,http://my.iita.org/accession2/accession/TDa-1333,
10001000051,NGA039,TDa-2851,IF/89/036,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.5332999,-2.0667,,,,303,19890101,,,300,,,,,,,,,13;30,,3e20b189-3d0c-445d-bf50-8b75b350d0a5,,http://my.iita.org/accession2/accession/TDa-2851,
10001000051,NGA039,TDa-4141,M005Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Shenge,7.54167,-12.37306,,,,46,,,,300,,,,,,,,,13;30,,bb2f103b-8e81-4f61-95cf-9dd8e28b95ba,,http://my.iita.org/accession2/accession/TDa-4141,
10001000051,NGA039,TDa-1330,IF/89/033,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.5500002,-1.2,,,,152,19890101,,,300,,,,,,,,,13;30,,7f4d92b9-4d62-4e61-87fb-0ef7bd675668,,http://my.iita.org/accession2/accession/TDa-1330,
10001000051,NGA039,TDa-2849,IF/89/033,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.5500002,-1.2,,,,152,19890101,,,300,,,,,,,,,13;30,,120ee6bb-ba1b-4144-b6af-e3a84d93905a,,http://my.iita.org/accession2/accession/TDa-2849,
